;link;regiao;area;populacao;idh
96;https://pt.wikipedia.org/wiki/Del_Castilho;Del Castilho;321.71;86.018;0.901
97;https://pt.wikipedia.org/wiki/Encantado_(bairro_do_Rio_de_Janeiro);Encantado;321.71;86.018;0.901
98;https://pt.wikipedia.org/wiki/Engenho_de_Dentro;Engenho de Dentro;321.71;86.018;0.901
99;https://pt.wikipedia.org/wiki/Engenho_Novo;Engenho Novo;321.71;86.018;0.901
100;https://pt.wikipedia.org/wiki/Higien%C3%B3polis_(bairro_do_Rio_de_Janeiro);Higienópolis;115.75;15.0;0.882
101;https://pt.wikipedia.org/wiki/Jacar%C3%A9_(bairro_do_Rio_de_Janeiro);Jacaré;84.26;9.0;0.839
102;https://pt.wikipedia.org/wiki/Jacarezinho_(bairro_do_Rio_de_Janeiro);Jacarezinho;84.26;9.0;0.839
103;https://pt.wikipedia.org/wiki/Lins_de_Vasconcelos_(bairro_do_Rio_de_Janeiro);Lins de Vasconcelos;84.26;9.0;0.839
104;https://pt.wikipedia.org/wiki/Manguinhos_(bairro_do_Rio_de_Janeiro);Manguinhos;261.84;36.0;0.726
105;https://pt.wikipedia.org/wiki/Maria_da_Gra%C3%A7a_(bairro_do_Rio_de_Janeiro);Maria da Graça;82.5;7.0;0.86
106;https://pt.wikipedia.org/wiki/M%C3%A9ier;Méier;247.09;49.828;0.931
107;https://pt.wikipedia.org/wiki/Piedade_(bairro_do_Rio_de_Janeiro);Piedade;247.09;49.828;0.931
108;https://pt.wikipedia.org/wiki/Pilares;Pilares;247.09;49.828;0.931
109;https://pt.wikipedia.org/wiki/Riachuelo_(bairro_do_Rio_de_Janeiro);Riachuelo;247.09;49.828;0.931
110;https://pt.wikipedia.org/wiki/Rocha_(bairro_do_Rio_de_Janeiro);Rocha;247.09;49.828;0.931
111;https://pt.wikipedia.org/wiki/Sampaio_(bairro);Sampaio;247.09;49.828;0.931
112;https://pt.wikipedia.org/wiki/S%C3%A3o_Francisco_Xavier_(bairro_do_Rio_de_Janeiro);São Francisco Xaveir;247.09;49.828;0.931
113;https://pt.wikipedia.org/wiki/Todos_os_Santos_(Rio_de_Janeiro);Todos os Santos;247.09;49.828;0.931
114;https://pt.wikipedia.org/wiki/Ilha_do_Governador;Ilha do Governador;247.10;49.828;0.932
115;https://pt.wikipedia.org/wiki/Zona_da_Leopoldina;Zona da Leopoldina;247.11;49.828;0.933
116;https://pt.wikipedia.org/wiki/Bonsucesso;Bonsucesso;219.97;18.0;0.861
117;https://pt.wikipedia.org/wiki/Banc%C3%A1rios_(Rio_de_Janeiro);Bancários;219.97;18.0;0.861
118;https://pt.wikipedia.org/wiki/Cacuia_(Rio_de_Janeiro);Cacuia;219.97;18.0;0.861
119;https://pt.wikipedia.org/wiki/Cidade_Universit%C3%A1ria_da_Universidade_Federal_do_Rio_de_Janeiro;Cidade Universitária;945.83;1.0;0.778
120;https://pt.wikipedia.org/wiki/Cocot%C3%A1;Cocotá;945.83;1.0;0.778
121;https://pt.wikipedia.org/wiki/Freguesia_(Ilha_do_Governador);Freguesia;405.64;19.437;0.839
122;https://pt.wikipedia.org/wiki/Gale%C3%A3o_(bairro);Galeáo;405.64;19.437;0.839
123;https://pt.wikipedia.org/wiki/Jardim_Carioca;Jardim Carioca;405.64;19.437;0.839
124;https://pt.wikipedia.org/wiki/Jardim_Guanabara_(bairro_do_Rio_de_Janeiro);Jardim Guanabara;405.64;19.437;0.839
125;https://pt.wikipedia.org/wiki/Mar%C3%A9_(bairro);Maré;426.88;129.0;0.722
126;https://pt.wikipedia.org/wiki/Moner%C3%B3;Moneró;426.88;129.0;0.722
127;https://pt.wikipedia.org/wiki/Olaria_(bairro_do_Rio_de_Janeiro);Olaria;368.98;57.0;0.853
128;https://pt.wikipedia.org/wiki/Pitangueiras_(bairro_do_Rio_de_Janeiro);Pitangueiras;368.98;57.0;0.853
129;https://pt.wikipedia.org/wiki/Portuguesa_(bairro);Portuguesa;118.64;23.856;0.904
130;https://pt.wikipedia.org/wiki/Praia_da_Bandeira_(bairro);Praia da Bandeira;37.94;5.948;0.858
131;https://pt.wikipedia.org/wiki/Ramos;Ramos;37.94;5.948;0.858
132;https://pt.wikipedia.org/wiki/Ribeira_(Rio_de_Janeiro);Ribeira;86.19;3.528;0.859
133;https://pt.wikipedia.org/wiki/Tau%C3%A1_(bairro);Tauá;86.19;3.528;0.859
134;https://pt.wikipedia.org/wiki/Zumbi_(bairro_do_Rio_de_Janeiro);Zumbi;86.19;3.528;0.859
135;https://pt.wikipedia.org/wiki/Subprefeitura_da_Zona_Norte_da_cidade_do_Rio_de_Janeiro;Zona Norte;86.20;3.528;0.860
136;https://pt.wikipedia.org/wiki/Acari_(bairro_do_Rio_de_Janeiro);Acari;160.55;27.0;0.72
137;https://pt.wikipedia.org/wiki/Anchieta_(bairro_do_Rio_de_Janeiro);Anchieta;434.57;55.0;0.788
138;https://pt.wikipedia.org/wiki/Barros_Filho;Barros Filho;172.39;14.0;0.75
139;https://pt.wikipedia.org/wiki/Bento_Ribeiro_(bairro_do_Rio_de_Janeiro);Bento Ribeiro;172.39;14.0;0.75
140;https://pt.wikipedia.org/wiki/Br%C3%A1s_de_Pina;Brás de Pina;352.22;59.0;0.835
141;https://pt.wikipedia.org/wiki/Campinho_(bairro_do_Rio_de_Janeiro);Campinho;352.22;59.0;0.835
142;https://pt.wikipedia.org/wiki/Cavalcante_(bairro_do_Rio_de_Janeiro);Cavalcante;352.22;59.0;0.835
143;https://pt.wikipedia.org/wiki/Cascadura_(bairro_do_Rio_de_Janeiro);Cascadura;352.22;59.0;0.835
144;https://pt.wikipedia.org/wiki/Coelho_Neto_(bairro_do_Rio_de_Janeiro);Coelho Neto;251.2;32.0;0.806
145;https://pt.wikipedia.org/wiki/Col%C3%A9gio_(bairro_do_Rio_de_Janeiro);Colégio;251.2;32.0;0.806
146;https://pt.wikipedia.org/wiki/Complexo_do_Alem%C3%A3o;Complexo do Alemão;251.2;32.0;0.806
147;https://pt.wikipedia.org/wiki/Cordovil;Cordovil;251.2;32.0;0.806
148;https://pt.wikipedia.org/wiki/Costa_Barros;Costa Barros;181.48;28.0;0.713
149;https://pt.wikipedia.org/wiki/Engenheiro_Leal;Engenheiro Leal;181.48;28.0;0.713
150;https://pt.wikipedia.org/wiki/Engenho_da_Rainha;Engenho da Rainha;181.48;28.0;0.713
151;https://pt.wikipedia.org/wiki/Guadalupe_(bairro_do_Rio_de_Janeiro);Guadalupe;382.0;47.0;0.81
152;https://pt.wikipedia.org/wiki/Hon%C3%B3rio_Gurgel_(bairro_do_Rio_de_Janeiro);Honário Gugel;137.48;21.0;0.804
153;https://pt.wikipedia.org/wiki/Inha%C3%BAma_(bairro_do_Rio_de_Janeiro);Inhaíma;348.53;45.0;0.81
154;https://pt.wikipedia.org/wiki/Iraj%C3%A1_(bairro_do_Rio_de_Janeiro);Irajá;348.53;45.0;0.81
155;https://pt.wikipedia.org/wiki/Jardim_Am%C3%A9rica_(bairro_do_Rio_de_Janeiro);Jardim América;197.4;25.0;0.839
156;https://pt.wikipedia.org/wiki/Madureira_(bairro_do_Rio_de_Janeiro);Madureira;378.76;50.0;0.831
157;https://pt.wikipedia.org/wiki/Marechal_Hermes;Marechal Hermes;378.76;50.0;0.831
158;https://pt.wikipedia.org/wiki/Oswaldo_Cruz_(bairro_do_Rio_de_Janeiro);Oswaldo Cruz;378.76;50.0;0.831
159;https://pt.wikipedia.org/wiki/Parada_de_Lucas;Parada de Lucas;219.8;23.0;0.745
160;https://pt.wikipedia.org/wiki/Parque_Anchieta;Parque Anchieta;390.58;26.0;0.833
161;https://pt.wikipedia.org/wiki/Parque_Col%C3%BAmbia;Parque Colúmbia;390.58;26.0;0.833
162;https://pt.wikipedia.org/wiki/Pavuna;Pavuna;831.14;120.0;0.79
163;https://pt.wikipedia.org/wiki/Penha_(bairro_do_Rio_de_Janeiro);Penha;831.14;120.0;0.79
164;https://pt.wikipedia.org/wiki/Penha_Circular;Penha Circular;462.34;47.0;0.826
165;https://pt.wikipedia.org/wiki/Quintino_Bocaiuva_(bairro_do_Rio_de_Janeiro);Quintino Bocaiuva;462.34;47.0;0.826
166;https://pt.wikipedia.org/wiki/Ricardo_de_Albuquerque;Ricardo de Albuquerque;211.69;29.0;0.807
167;https://pt.wikipedia.org/wiki/Rocha_Miranda;Rocha Miranda;211.69;29.0;0.807
168;https://pt.wikipedia.org/wiki/Tom%C3%A1s_Coelho_(bairro);Tomás Coelho;211.69;29.0;0.807
169;https://pt.wikipedia.org/wiki/Turia%C3%A7u_(bairro_do_Rio_de_Janeiro);Turiaçu;211.69;29.0;0.807
170;https://pt.wikipedia.org/wiki/Vaz_Lobo;Vaz Lobo;211.69;29.0;0.807
171;https://pt.wikipedia.org/wiki/Vicente_de_Carvalho_(bairro_do_Rio_de_Janeiro);Vincente de Carvalho;211.69;29.0;0.807
172;https://pt.wikipedia.org/wiki/Vig%C3%A1rio_Geral;Vigário Geral;211.69;29.0;0.807
173;https://pt.wikipedia.org/wiki/Vila_da_Penha;Vila da Penha;143.57;29.1;0.909
174;https://pt.wikipedia.org/wiki/Vila_Kosmos;Vila Kosmos;143.57;29.2;0.909
175;https://pt.wikipedia.org/wiki/Vista_Alegre_(bairro_do_Rio_de_Janeiro);Vista Alegre;143.57;29.3;0.909
